,,,,,
,Datum,Tätigkeit,Zeitaufwand in h,,∑ in h
,17/06/2025,Arbeit am Pflichtenheft,2,,215
,24/06/2025,Arbeit am Pflichtenheft,2,,
,30/06/2025,Aufbau Testrig & Pflichtenheft,6,,
,01/07/2025,Pflichtenheft & Kamera,7,,
,04/07/2025,Prototyping,6,,
,07/07/2025,Schnittstelle zu Synology,6,,
,08/07/2025,Setup third party API + LDAP Hilfe,7,,
,09/07/2025,LDAP + API Anbindung Erweiterung,5,,
,10/07/2025,Verbesserung Kennzeichen & Landerkennung,7,,
,11/07/2025,Kubernetes Test ,5,,
,14/07/2025,Repo Setup,5,,
,15/07/2025,Architektur Ausarbeitung & Repo Setup,4,,
,16/07/2025,Architektur & Repo,6,,
,18/07/2025,Portainer Einlesen & Repo finalisieren,5,,
,21/07/2025,Setup finalisieren,7,,
,22/07/2025,Alembic,5,,
,23/07/2025,Alembic Migration fixed,2,,
,24/07/2025,Aufbau Vorbereitung,2,,
,25/07/2025,Implementierung Datenspeicherung,7,,
,28/07/2025,Alembic Verbesserungen & Strukturänderung,6,,
,29/07/2025,Alembic Verbesserte Integrierung mit k8s,5,,
,30/07/2025,License plate fix,5,,
,31/07/2025,Aufbau und Inbetriebnahme Kamera,6,,
,01/08/2025,Testkonzept + Tests für Data Collection,5,,
,04/08/2025,Start Notification Service + VPN Zugriff Setup,7,,
,05/08/2025,Notification Service Arbeit,5,,
,06/08/2025,Notification Service Api,5,,
,07/08/2025,Integrierung der Plate Recognizer SDK,5,,
,08/08/2025,NAS-Integration des Vorläufigen Systems,4,,
,29/10/2025,"Code-Stil Fixes, Build Improvements",1,,
,30/10/2025,DevOps (Compose + Github Actions),2,,
,01/11/2025,MkDocs Setup + Deploy,3,,
,07/11/2025,"Health Calls, Tests, Fixes",2,,
,09/11/2025,CI/CD Improvements + User Mangement Tests,3,,
,20/11/2025,Grafana Implementiert,3,,
,26/01/2026,Notifications Service fertig,4,,
,26/01/2026,Dokumentation Struktur erstellt,1,,
,01/02/2026,Pre-Content fertig,2,,
,03/02/2026,Einleitung fertig geschrieben,3,,
,05/02/2026,Theoretische Grundlagen start,2,,
,06/02/2026,Theoretische Grundlagen fertig,2,,
,07/02/2026,Hardwareauswahl fertig,4,,
,08/02/2026,Hardwareauswahl fixes + Start Systementwurf,3,,
,11/02/2026,Systementwurf und Architektur geschrieben,4,,
,12/02/2026,Formel für Speicherberechnung hinzugefügt,1,,
,13/02/2026,Kapitel Implementierung hinzugefügt,6,,
,18/02/2026,Kapitel Infrastruktur geschrieben,7,,
,19/02/2026,Qualitätssicherung und Testkapitel fertig,5,,
,20/02/2026,Fazit und Ausblick fertig + Korrekturen,3,,
,22/02/2026,LaTeX Portierung,5,,
